用語,読み,説明,カテゴリ
CI/CD,シーアイシーディー,継続的インテグレーションと継続的デリバリーの略。コードの変更を自動でビルド・テスト・デプロイする仕組み。,開発
マイクロサービス,マイクロサービス,アプリケーションを小さな独立したサービスに分割するアーキテクチャ。各サービスが独立してデプロイ・スケール可能。,開発
OAuth,オーオース,外部サービスにパスワードを渡さずにアクセス権限を委譲する認可プロトコル。OAuth 2.0が主流。,セキュリティ
スプリント,スプリント,スクラム開発における1〜4週間の反復的な開発期間。スプリントごとに動くプロダクトを作る。,マネジメント
ETL,イーティーエル,"Extract(抽出)・Transform(変換)・Load(格納)の略。異なるデータソースからデータを集約・加工する処理パイプライン。",データ
SLA,エスエルエー,Service Level Agreementの略。サービス提供者と利用者間で合意した稼働率や応答時間などの品質基準。,マネジメント
WAF,ワフ,Web Application Firewallの略。SQLインジェクションやXSSなどのWebアプリケーション攻撃を検知・遮断する。,セキュリティ
gRPC,ジーアールピーシー,Googleが開発した高性能RPCフレームワーク。Protocol Buffersでデータをシリアライズし、HTTP/2で通信する。,開発
Docker,ドッカー,アプリケーションをコンテナと呼ばれる隔離環境にパッケージングする技術。環境差異の問題を解消する。,インフラ
Kubernetes,クバネティス,コンテナのオーケストレーションプラットフォーム。複数コンテナの配置・スケーリング・管理を自動化する。,インフラ
REST API,レストエーピーアイ,HTTPメソッドを使ってリソースを操作するWebAPIの設計スタイル。JSON形式でデータをやりとりする場合が多い。,開発
GraphQL,グラフキューエル,Facebookが開発したAPI問い合わせ言語。クライアントが必要なデータ構造を指定してリクエストできる。,開発
Terraform,テラフォーム,HashiCorp社のInfrastructure as Codeツール。HCLでクラウドインフラの定義・プロビジョニングを自動化する。,インフラ
ゼロトラスト,ゼロトラスト,ネットワーク内外を問わず全てのアクセスを検証するセキュリティモデル。社内ネットワークも信頼しない前提で設計する。,セキュリティ
Redis,レディス,インメモリ型のKey-Valueストア。キャッシュやセッション管理、メッセージブローカーとして利用される。,データ
PostgreSQL,ポストグレスキューエル,高機能なオープンソースRDBMS。JSONB型やGIS拡張など拡張性が高く、大規模システムで広く採用されている。,データ
RBAC,アールバック,Role-Based Access Controlの略。ユーザーに役割を割り当て、役割ごとに操作権限を制御するアクセス制御方式。,セキュリティ
WebSocket,ウェブソケット,サーバーとクライアント間で双方向のリアルタイム通信を実現するプロトコル。チャットや通知機能で利用される。,開発
CDN,シーディーエヌ,Content Delivery Networkの略。世界中のエッジサーバーにコンテンツをキャッシュし配信速度を向上させる仕組み。,インフラ
ORM,オーアールエム,Object-Relational Mappingの略。プログラムのオブジェクトとRDBのテーブルを対応づけ、SQLを直接書かずにDB操作を行う技術。,開発
アジャイル,アジャイル,短いサイクルで要件定義・開発・テストを繰り返す開発手法の総称。変化への迅速な対応を重視する。,マネジメント
カナリアリリース,カナリアリリース,新バージョンをまず少数のユーザーに公開し、問題がなければ段階的に展開する手法。障害の影響範囲を最小限に抑える。,開発
IaC,アイエーシー,Infrastructure as Codeの略。インフラ構成をコードで記述し、バージョン管理・再現性を確保する運用方法。,インフラ
SSO,エスエスオー,Single Sign-Onの略。一度の認証で複数のサービスやアプリケーションにアクセスできる仕組み。,セキュリティ
