date,store_id,region,city,store_type,category,product,channel,customer_segment,units_sold,unit_price,discount_rate,revenue,cost,profit,returns,nps_score
2025-01-01,S011,北海道,札幌,小型,家電,エアコン,電話,会員,9,85000,0.05,726750,474300,252450,0,33.0
2025-01-01,S011,北海道,札幌,小型,衣料,Tシャツ,店頭,会員,14,2400,0.15,28560,14112,14448,0,34.5
2025-01-01,S011,北海道,札幌,小型,衣料,ダウンジャケット,店頭,プレミアム会員,13,18000,0,234000,117000,117000,0,54.4
2025-01-01,S011,北海道,札幌,小型,家電,冷蔵庫,店頭,法人,6,128000,0.1,691200,445439,245761,1,49.2
2025-01-01,S011,北海道,札幌,小型,食品,コーヒー豆,店頭,プレミアム会員,11,1280,0.2,11264,5632,5632,0,39.9
2025-01-01,S011,北海道,札幌,小型,食品,プレミアム米,店頭,一般,11,4800,0.15,44880,25344,19536,0,39.8
2025-01-01,S012,北海道,札幌,旗艦,日用品,洗剤,EC,法人,32,680,0,21760,9792,11968,0,19.0
2025-01-01,S012,北海道,札幌,旗艦,家電,冷蔵庫,電話,一般,54,128000,0.1,6220800,4008959,2211841,0,18.9
2025-01-01,S012,北海道,札幌,旗艦,衣料,Tシャツ,店頭,会員,34,2400,0.15,69360,34272,35088,0,26.8
2025-01-01,S021,東北,仙台,旗艦,家電,エアコン,EC,プレミアム会員,32,85000,0,2720000,1686400,1033600,1,72.9
2025-01-01,S021,東北,仙台,旗艦,日用品,洗剤,電話,プレミアム会員,43,680,0.15,24854,13158,11696,2,35.9
2025-01-01,S021,東北,仙台,旗艦,食品,プレミアム米,店頭,プレミアム会員,42,4800,0.15,171360,96768,74592,0,32.0
2025-01-01,S021,東北,仙台,旗艦,衣料,Tシャツ,EC,プレミアム会員,51,2400,0.1,110160,51408,58752,4,24.9
2025-01-01,S021,東北,仙台,旗艦,家電,テレビ,店頭,会員,40,95000,0.15,3230000,2090000,1140000,1,45.3
2025-01-01,S022,東北,仙台,小型,食品,プレミアム米,EC,プレミアム会員,15,4800,0,72000,34560,37440,0,42.5
2025-01-01,S022,東北,仙台,小型,衣料,Tシャツ,電話,プレミアム会員,9,2400,0.2,17280,9072,8208,0,40.5
2025-01-01,S022,東北,仙台,小型,日用品,ティッシュ,EC,会員,2,420,0.15,714,462,252,0,28.8
2025-01-01,S031,関東,東京,標準,衣料,Tシャツ,EC,会員,31,2400,0,74400,31248,43152,0,35.1
2025-01-01,S031,関東,東京,標準,家電,冷蔵庫,電話,一般,15,128000,0,1920000,1113600,806400,0,52.2
2025-01-01,S031,関東,東京,標準,食品,プレミアム米,EC,会員,16,4800,0,76800,36864,39936,0,45.5
2025-01-01,S031,関東,東京,標準,食品,コーヒー豆,店頭,一般,20,1280,0.2,20480,10240,10240,0,23.9
2025-01-01,S032,関東,東京,旗艦,衣料,Tシャツ,店頭,会員,42,2400,0.15,85680,42336,43344,0,66.3
2025-01-01,S032,関東,東京,旗艦,家電,テレビ,電話,プレミアム会員,26,95000,0,2470000,1358500,1111500,0,45.1
2025-01-01,S032,関東,東京,旗艦,衣料,ダウンジャケット,店頭,会員,48,18000,0.1,777600,432000,345600,1,34.5
2025-01-01,S032,関東,東京,旗艦,日用品,ティッシュ,電話,一般,43,420,0.2,14448,9933,4515,3,23.0
2025-01-01,S032,関東,東京,旗艦,食品,コーヒー豆,EC,法人,52,1280,0,66560,26624,39936,0,25.3
2025-01-01,S032,関東,東京,旗艦,日用品,洗剤,電話,法人,40,680,0.05,25840,12240,13600,1,32.0
2025-01-01,S041,中部,名古屋,旗艦,食品,コーヒー豆,店頭,法人,45,1280,0.15,48960,23040,25920,0,50.2
2025-01-01,S041,中部,名古屋,旗艦,食品,プレミアム米,店頭,会員,44,4800,0.05,200640,101376,99264,1,35.4
2025-01-01,S041,中部,名古屋,旗艦,日用品,洗剤,店頭,法人,52,680,0.2,28288,15912,12376,1,18.4
2025-01-01,S041,中部,名古屋,旗艦,衣料,ダウンジャケット,店頭,一般,70,18000,0.2,1008000,630000,378000,0,31.0
2025-01-01,S041,中部,名古屋,旗艦,家電,エアコン,EC,会員,52,85000,0.2,3536000,2740400,795600,0,32.4
2025-01-01,S041,中部,名古屋,旗艦,日用品,ティッシュ,EC,一般,49,420,0.2,16464,11319,5145,0,32.2
2025-01-01,S042,中部,名古屋,旗艦,家電,テレビ,電話,プレミアム会員,30,95000,0,2850000,1567500,1282500,1,49.2
2025-01-01,S042,中部,名古屋,旗艦,日用品,洗剤,電話,会員,53,680,0.2,28832,16218,12614,1,36.3
2025-01-01,S042,中部,名古屋,旗艦,衣料,Tシャツ,電話,会員,58,2400,0.05,132240,58464,73776,2,47.3
2025-01-01,S042,中部,名古屋,旗艦,家電,冷蔵庫,店頭,一般,30,128000,0.1,3456000,2227200,1228800,0,20.4
2025-01-01,S042,中部,名古屋,旗艦,家電,エアコン,EC,会員,35,85000,0.15,2528750,1844500,684250,0,21.3
2025-01-01,S042,中部,名古屋,旗艦,日用品,ティッシュ,EC,会員,35,420,0,14700,8085,6615,0,55.4
2025-01-01,S051,関西,大阪,小型,衣料,ダウンジャケット,電話,会員,7,18000,0.1,113400,63000,50400,0,57.8
2025-01-01,S051,関西,大阪,小型,家電,冷蔵庫,店頭,会員,8,128000,0.2,819200,593920,225280,0,20.2
2025-01-01,S051,関西,大阪,小型,家電,エアコン,電話,一般,9,85000,0.15,650250,474300,175950,0,20.8
2025-01-01,S052,関西,大阪,旗艦,家電,テレビ,店頭,会員,37,95000,0.15,2987750,1933250,1054500,2,19.9
2025-01-01,S052,関西,大阪,旗艦,日用品,ティッシュ,EC,法人,55,420,0,23100,12705,10395,2,17.0
2025-01-01,S052,関西,大阪,旗艦,家電,エアコン,店頭,法人,41,85000,0,3485000,2160700,1324300,0,32.3
2025-01-01,S061,中国,広島,小型,家電,テレビ,電話,一般,5,95000,0,475000,261250,213750,1,41.3
2025-01-01,S061,中国,広島,小型,衣料,ダウンジャケット,店頭,一般,13,18000,0,234000,117000,117000,0,26.8
2025-01-01,S061,中国,広島,小型,日用品,ティッシュ,EC,一般,10,420,0,4200,2310,1890,0,38.8
2025-01-01,S061,中国,広島,小型,食品,コーヒー豆,店頭,プレミアム会員,11,1280,0.05,13376,5632,7744,0,64.7
2025-01-01,S061,中国,広島,小型,日用品,洗剤,店頭,会員,9,680,0.2,4896,2754,2142,0,7.0
2025-01-01,S062,中国,広島,小型,家電,テレビ,EC,会員,9,95000,0,855000,470250,384750,1,27.5
2025-01-01,S062,中国,広島,小型,食品,コーヒー豆,EC,会員,10,1280,0,12800,5120,7680,0,17.8
2025-01-01,S062,中国,広島,小型,食品,プレミアム米,EC,会員,10,4800,0.05,45600,23040,22560,1,18.7
2025-01-01,S071,九州,福岡,小型,食品,コーヒー豆,店頭,一般,15,1280,0,19200,7680,11520,1,57.7
2025-01-01,S071,九州,福岡,小型,食品,プレミアム米,EC,一般,12,4800,0.15,48960,27648,21312,0,32.9
2025-01-01,S071,九州,福岡,小型,衣料,Tシャツ,電話,一般,7,2400,0.05,15960,7056,8904,0,25.4
2025-01-01,S071,九州,福岡,小型,日用品,ティッシュ,店頭,法人,16,420,0.1,6048,3696,2352,0,19.0
2025-01-01,S071,九州,福岡,小型,家電,テレビ,電話,会員,3,95000,0,285000,156750,128250,0,42.2
2025-01-01,S072,九州,福岡,旗艦,食品,コーヒー豆,EC,法人,31,1280,0.1,35712,15872,19840,1,38.7
2025-01-01,S072,九州,福岡,旗艦,家電,冷蔵庫,EC,会員,48,128000,0.1,5529600,3563519,1966081,0,24.8
2025-01-01,S072,九州,福岡,旗艦,衣料,Tシャツ,店頭,プレミアム会員,41,2400,0.1,88560,41328,47232,1,36.7
2025-01-01,S072,九州,福岡,旗艦,家電,テレビ,EC,法人,33,95000,0.15,2664750,1724250,940500,0,43.2
2025-01-01,S072,九州,福岡,旗艦,日用品,ティッシュ,電話,会員,34,420,0.15,12138,7854,4284,0,22.7
2025-01-08,S011,北海道,札幌,小型,日用品,ティッシュ,店頭,一般,7,420,0,2940,1617,1323,0,43.6
2025-01-08,S011,北海道,札幌,小型,日用品,洗剤,店頭,法人,6,680,0,4080,1836,2244,0,27.7
2025-01-08,S011,北海道,札幌,小型,食品,プレミアム米,EC,会員,7,4800,0,33600,16128,17472,0,28.9
2025-01-08,S011,北海道,札幌,小型,家電,冷蔵庫,店頭,法人,11,128000,0.15,1196800,816640,380160,1,26.2
