URL,ラベル,用途
https://event.nexbridge-tech.co.jp/2026/reception,来場受付,受付ページ
https://event.nexbridge-tech.co.jp/2026/survey/pre,事前アンケート,アンケート
https://event.nexbridge-tech.co.jp/2026/survey/post,事後アンケート,アンケート
https://event.nexbridge-tech.co.jp/2026/venue-map,会場フロアMAP,会場MAP
https://event.nexbridge-tech.co.jp/2026/wifi-setup,Wi-Fi接続ガイド,Wi-Fi接続
https://event.nexbridge-tech.co.jp/2026/slides/keynote,基調講演スライド,スライド共有
https://event.nexbridge-tech.co.jp/2026/slides/session-a,セッションA資料,スライド共有
https://event.nexbridge-tech.co.jp/2026/slides/session-b,セッションB資料,スライド共有
https://event.nexbridge-tech.co.jp/2026/namecard-exchange,デジタル名刺交換,名刺交換
https://twitter.com/intent/tweet?hashtags=NexBridgeTech2026,X(Twitter)でシェア,SNSシェア
https://www.linkedin.com/sharing/share-offsite/?url=https://event.nexbridge-tech.co.jp/2026,LinkedInでシェア,SNSシェア
https://event.nexbridge-tech.co.jp/2026/feedback,セッション評価フォーム,フィードバック
https://event.nexbridge-tech.co.jp/2026/networking-party,懇親会参加登録,懇親会予約
https://event.nexbridge-tech.co.jp/2026/photos,イベント写真ギャラリー,写真共有
https://event.nexbridge-tech.co.jp/2026/contact,スポンサーお問い合わせ,お問い合わせ
