タスクID,タスク名,担当者,開始日,終了日,進捗(%),依存タスク,カテゴリ,色
T-001,要件ヒアリング,佐藤PM,2026-04-01,2026-04-04,100,,要件定義,#1e3461
T-002,要件定義書作成,佐藤PM,2026-04-07,2026-04-10,100,T-001,要件定義,#1e3461
T-003,要件レビュー・承認,佐藤PM,2026-04-13,2026-04-14,80,T-002,要件定義,#1e3461
T-004,画面設計（ワイヤーフレーム）,高橋(デザイン),2026-04-15,2026-04-22,60,T-003,設計,#6a1b9a
T-005,DB設計,鈴木(バック),2026-04-15,2026-04-18,70,T-003,設計,#6a1b9a
T-006,API設計,鈴木(バック),2026-04-21,2026-04-25,40,T-005,設計,#6a1b9a
T-007,UIデザイン（モックアップ）,高橋(デザイン),2026-04-23,2026-05-02,30,T-004,設計,#6a1b9a
T-008,フロントエンド基盤構築,田中(フロント),2026-04-28,2026-05-02,20,T-004,開発,#2e7d32
T-009,認証・認可機能,鈴木(バック),2026-04-28,2026-05-09,15,T-006,開発,#2e7d32
T-010,ユーザー管理画面,田中(フロント),2026-05-07,2026-05-16,10,T-007;T-008,開発,#2e7d32
T-011,API実装（CRUD）,鈴木(バック),2026-05-07,2026-05-20,5,T-006,開発,#2e7d32
T-012,ダッシュボード画面,田中(フロント),2026-05-19,2026-05-29,0,T-010,開発,#2e7d32
T-013,帳票出力機能,鈴木(バック),2026-05-21,2026-05-29,0,T-011,開発,#2e7d32
T-014,単体テスト,渡辺(QA),2026-06-01,2026-06-05,0,T-012;T-013,テスト,#e65100
T-015,結合テスト,渡辺(QA),2026-06-08,2026-06-12,0,T-014,テスト,#e65100
T-016,性能テスト,渡辺(QA),2026-06-08,2026-06-11,0,T-014,テスト,#e65100
T-017,受入テスト・修正対応,佐藤PM,2026-06-15,2026-06-19,0,T-015;T-016,テスト,#e65100
T-018,リリース手順書作成,鈴木(バック),2026-06-22,2026-06-24,0,T-017,リリース,#c62828
T-019,ステージング環境デプロイ,鈴木(バック),2026-06-25,2026-06-26,0,T-018,リリース,#c62828
T-020,本番リリース・監視,佐藤PM,2026-06-29,2026-06-30,0,T-019,リリース,#c62828
