URL,商品名,カテゴリ
https://store.nexbridge-tech.co.jp/products/nb-desk-pro,NB Desk Pro 電動昇降デスク,オフィス家具
https://store.nexbridge-tech.co.jp/products/nb-chair-ergo,NB Chair Ergo エルゴノミクスチェア,オフィス家具
https://store.nexbridge-tech.co.jp/products/nb-monitor-34,NB Monitor 34インチ曲面ディスプレイ,ディスプレイ
https://store.nexbridge-tech.co.jp/products/nb-dock-station,NB Dock Station USB-C ドッキングステーション,PC周辺機器
https://store.nexbridge-tech.co.jp/products/nb-keyboard-mech,NB Keyboard メカニカルキーボード,入力デバイス
https://store.nexbridge-tech.co.jp/products/nb-mouse-silent,NB Mouse サイレントワイヤレスマウス,入力デバイス
https://store.nexbridge-tech.co.jp/products/nb-webcam-4k,NB Webcam 4K Webカメラ,会議機器
https://store.nexbridge-tech.co.jp/products/nb-headset-anc,NB Headset ANC ワイヤレスヘッドセット,会議機器
https://store.nexbridge-tech.co.jp/products/nb-light-bar,NB Light Bar モニター掛け式ライト,照明
https://store.nexbridge-tech.co.jp/products/nb-cable-organizer,NB Cable Organizer ケーブル管理キット,アクセサリ
