商品コード,商品名,カテゴリ,単価,在庫数,仕入先,最終更新日
OFS-001,コピー用紙 A4 500枚,事務用品,480,320,コクヨ株式会社,2025-11-20
OFS-002,付箋 75×75mm 5色パック,事務用品,350,150,スリーエムジャパン,2025-12-01
OFS-003,ボールペン 0.5mm 黒 10本入,筆記用具,680,200,三菱鉛筆株式会社,2025-11-15
OFS-004,クリアファイル A4 100枚,ファイリング,1200,80,キングジム株式会社,2025-10-28
OFS-005,ホワイトボードマーカー 4色セット,筆記用具,520,95,パイロット株式会社,2025-12-05
IT-001,ワイヤレスマウス M750,IT機器,4980,45,ロジクール,2025-12-10
IT-002,USBハブ 4ポート USB3.0,IT機器,2480,60,エレコム株式会社,2025-11-25
IT-003,ノートPCスタンド アルミ製,IT機器,6800,25,サンワサプライ株式会社,2025-12-08
IT-004,HDMIケーブル 2m,IT機器,980,110,バッファロー株式会社,2025-11-30
IT-005,Webカメラ フルHD,IT機器,7800,35,ロジクール,2025-12-12
FUR-001,オフィスチェア メッシュバック,オフィス家具,29800,12,株式会社オカムラ,2025-10-15
FUR-002,デスクライト LED調光,オフィス家具,5400,40,パナソニック株式会社,2025-11-10
FUR-003,モニターアーム デュアル対応,オフィス家具,12800,18,エルゴトロン,2025-12-01
FUR-004,デスクマット 900×600mm,オフィス家具,2200,55,プラス株式会社,2025-11-22
FUR-005,ケーブルトレー デスク下取付型,オフィス家具,3800,30,サンワサプライ株式会社,2025-12-03
